date,Tmin,Tmax,vent,pluie
2021-04-18,10.5,17.6,14.9,0.4
2036-01-07,2.8,10.0,28.0,4.1
2040-02-29,10.0,17.4,15.0,0.6
2031-11-29,10.7,17.7,16.1,6.4
2029-07-09,9.2,19.1,11.3,3.9
2032-01-24,10.6,18.6,11.1,0.0
2029-04-02,5.8,10.9,13.0,5.4
2039-02-03,10.6,17.8,25.2,14.6
2032-07-21,4.6,12.4,21.2,0.1
2044-12-16,12.6,18.3,17.0,3.3
2036-07-06,5.7,12.9,25.6,1.8
2046-04-05,10.5,19.8,16.1,0.6
2042-12-27,8.8,18.7,32.1,0.5
2048-01-26,9.6,18.6,10.8,11.5
2026-01-26,15.3,22.5,12.2,1.9
2024-01-29,6.6,12.8,26.7,0.6
2029-05-02,10.7,20.4,19.9,1.2
2030-03-24,10.4,19.4,33.3,0.1
2039-09-13,8.7,18.3,13.2,0.4
2032-12-14,4.0,37.0,75.0,50.0
2029-06-16,4.1,12.5,23.4,0.4
2046-10-02,15.4,20.4,27.4,4.3
2047-02-09,8.6,17.8,3.8,2.2
2034-09-03,11.7,18.9,19.3,1.5
2032-07-11,6.6,13.8,17.2,1.7
2034-11-26,-2.0,37.0,90.0,35.0
2037-11-20,9.5,19.1,18.4,7.8
2033-11-02,5.7,12.1,21.6,0.6
2039-10-31,7.8,13.8,23.9,1.4
2039-10-05,0.0,45.0,90.0,30.0
2044-01-13,6.8,16.4,20.8,1.0
2030-10-20,3.0,40.0,75.0,45.0
2046-03-01,4.0,35.0,85.0,30.0
2046-08-03,9.5,14.7,14.7,0.1
2027-11-20,9.6,18.5,9.9,0.1
2028-12-18,8.6,16.0,14.1,2.9
2037-04-05,13.7,22.9,12.3,4.4
2034-09-25,8.5,14.1,15.7,3.7
2047-04-10,8.6,13.7,23.4,0.3
2045-01-04,12.3,21.4,18.7,1.0
2034-02-08,12.2,18.8,4.3,1.2
2028-02-16,8.1,13.1,8.1,2.4
2042-04-20,7.2,12.9,22.9,2.0
2028-09-27,13.7,20.7,19.4,1.2
2024-01-24,10.6,19.1,17.0,16.7
2030-07-18,8.5,14.9,25.4,5.9
2029-02-28,10.8,16.8,4.1,1.3
2021-05-02,2.0,40.0,70.0,35.0
2042-02-19,6.3,14.2,22.6,0.6
2039-01-02,13.5,21.6,20.4,1.9
2025-09-19,12.2,17.3,18.2,2.7
2040-10-22,8.1,13.8,22.4,11.4
2043-11-28,11.7,18.0,24.0,0.4
2031-10-24,9.2,15.1,13.5,0.5
2036-01-16,16.2,24.9,6.1,3.3
2047-09-26,4.0,37.0,70.0,45.0
2043-03-18,4.2,13.9,31.4,1.0
2028-09-21,9.2,15.9,30.1,3.2
2035-08-13,7.6,14.0,31.0,0.1
2035-09-14,14.8,23.3,10.2,1.9
2032-06-16,8.6,17.1,9.1,12.7
2046-09-30,9.4,18.7,22.8,2.0
2047-05-10,8.0,13.6,25.4,1.7
2021-10-31,11.8,21.5,0.0,0.7
2021-02-03,6.8,13.1,8.1,5.1
2029-12-19,7.3,15.2,10.1,2.5
2026-04-26,8.8,17.4,29.3,6.4
2045-12-17,14.8,23.5,16.5,0.3
2046-06-02,12.1,21.4,17.7,2.9
2030-08-24,7.1,14.9,23.7,12.5
2034-03-30,8.6,16.6,17.0,7.4
2040-06-17,9.6,17.2,10.0,7.2
2021-09-09,12.8,20.3,24.6,4.2
2045-11-02,8.4,14.0,19.0,8.2
2039-11-22,5.6,14.2,5.9,2.9
2047-08-26,6.3,11.5,10.1,0.8
2046-11-06,4.7,13.0,14.9,0.3
2022-04-03,6.9,12.0,12.8,4.9
2029-02-02,7.2,16.2,31.0,5.4
2026-01-14,9.4,16.2,19.0,1.4
2037-01-22,8.2,14.9,18.6,0.6
2044-04-10,17.5,26.8,22.8,1.2
2047-03-05,9.0,15.8,17.3,4.1
2024-07-01,11.2,20.8,1.3,0.5
2024-02-20,10.0,15.9,8.8,2.5
2045-04-12,3.0,45.0,85.0,40.0
2046-06-06,11.2,17.0,28.8,0.7
2044-02-13,6.1,11.1,6.2,8.6
2047-10-15,11.0,18.1,23.3,2.1
2048-04-05,11.2,16.5,24.1,3.2
2025-04-01,2.0,45.0,90.0,50.0
2029-10-10,7.1,15.4,13.7,0.0
2039-08-29,5.7,14.0,9.6,14.7
2033-06-20,7.1,14.8,20.4,9.4
2038-06-18,10.2,15.9,25.0,5.0
2036-04-04,9.0,16.9,25.4,11.0
2024-03-24,7.0,15.5,17.4,2.0
2034-10-12,12.2,21.1,17.4,0.4
2025-11-29,12.0,20.9,13.3,0.3
2033-03-12,10.9,18.5,21.1,1.1
2034-03-23,6.8,14.9,15.1,2.8
2022-11-05,8.9,14.1,16.4,7.2
2028-06-17,15.9,22.3,23.5,1.3
2035-11-06,12.8,22.6,27.5,4.0
2044-06-23,9.6,14.6,21.9,2.6
2029-10-29,3.0,35.0,80.0,45.0
2042-02-09,7.4,16.6,22.5,1.0
2040-05-15,12.2,19.9,14.3,0.4
2027-01-31,8.1,17.7,21.2,7.9
2038-03-06,6.8,12.2,33.4,6.5
2044-04-02,9.7,15.0,27.2,1.5
2030-01-14,0.0,35.0,90.0,40.0
2034-05-22,11.9,17.7,29.4,5.7
2025-06-12,8.0,13.1,6.8,1.7
2031-06-23,3.0,42.0,70.0,35.0
2023-06-03,13.1,20.8,11.6,0.1
2035-05-29,7.7,16.9,19.2,0.4
2025-06-06,7.7,16.2,17.2,1.1
2027-10-29,8.5,15.7,16.0,4.1
2043-10-23,9.4,16.6,23.9,10.3
2039-12-19,10.1,16.7,18.2,4.7
2025-02-10,8.3,15.1,29.0,6.5
2042-07-14,8.6,15.7,24.6,1.6
2037-11-18,8.2,17.6,14.9,7.1
2026-07-12,11.9,18.6,19.0,2.2
2044-02-16,12.0,17.0,14.6,0.5
2023-11-23,9.9,19.7,18.3,10.8
2033-08-16,10.2,15.8,9.6,4.3
2035-04-16,8.5,15.0,10.2,7.2
2024-02-17,9.5,18.6,29.0,5.3
2021-11-15,11.0,20.7,29.2,0.8
2030-12-31,11.7,19.6,19.8,2.0
2047-07-17,9.3,18.2,22.7,0.2
2037-06-17,11.3,20.3,24.1,0.4
2040-10-07,4.8,13.5,8.8,2.8
